study,Author,Year.publication,Journal,Title,Author.Affiliation,Country,Continent,Developed,Development,Latitude,Publisher,Study.type,In.seufert,In.Badgley,obs,Crop.species,Crop.type,Duration.of.study,Research.project,Study.site,Y_coord,X_coord,year_conv,year_org,Study.Comment,DataThief.used,Perennial,Legume,Comparability.of.system,Drought,Time.since.conversion,Conv.system.type,Org.system.type,Conv.yield.comparability,BMP,Multi.crop,Rotations,non.food.rotation,Org.fertilizer.type,Green.manure.org,Animal.manure.org,N.input,N.inputs.include.all.inputs,Org.N.input.kg.N.ha.1,Conv.N.input.kg.N.ha.1,Org.P.input.kg.P.ha.1,Conv.P.input.kg.P.ha.1,Irrigation,Tillage,GDD,Moisture,Soil.carbon,Soil.pH,Soil.pH.source,Yield.unit,Data.location.1,mean.conv,sd.conv,n.conv,mean.org,sd.org,n.organic,lnR,varlnR,conv_treatment,notes,organic_treatment,between_yr_var,mult_yrs,duplicate_trt_dat,in_original,P.input
study13,Denison et al.,2004,"Field Crops Research 86, 267-277","Crop yields over the first nine years of LTRAS, a long-term comparison of field crop systems in a Mediterranean climate","Agronomy and Range Science, University of California, Davis",United States,North America,yes,very high,temperate,journal,experimental,yes,no,210,tomato,fruit,long,LTRAS UC Davis; 1994-2002,Russell Ranch; near Davis; California,38.53,-121.78,2000,2000,OMT & CWT,yes,annual,non-legume,comparable,no,recent,commercial,org stand,comparable,yes,org multi-crop,similar,no,plant,yes,no,more org,no,214,160,173,44,yes,standard,high,high,high,neutral,dataset,Mg/ha,Fig. 4,76.02,8.41,3,72.49,4.89,3,-0.047547842,0.005596418,CWT,NA,OMT,1,16,yes,NA,more org
study13,Denison et al.,2004,"Field Crops Research 86, 267-277","Crop yields over the first nine years of LTRAS, a long-term comparison of field crop systems in a Mediterranean climate","Agronomy and Range Science, University of California, Davis",United States,North America,yes,very high,temperate,journal,experimental,yes,no,192,tomato,fruit,long,LTRAS UC Davis; 1994-2002,Russell Ranch; near Davis; California,38.53,-121.78,2000,2000,OMT & CMT,yes,annual,non-legume,comparable,no,recent,commercial,org stand,comparable,yes,org multi-crop,similar,no,plant,yes,no,more org,no,214,160,173,44,yes,standard,high,high,high,neutral,dataset,Mg/ha,Fig. 4,70.86,4.07,3,72.49,4.89,3,0.022742522,0.002616519,CMT,NA,OMT,1,16,yes,NA,more org
study13,Denison et al.,2004,"Field Crops Research 86, 267-277","Crop yields over the first nine years of LTRAS, a long-term comparison of field crop systems in a Mediterranean climate","Agronomy and Range Science, University of California, Davis",United States,North America,yes,very high,temperate,journal,experimental,yes,no,203,tomato,fruit,long,LTRAS UC Davis; 1994-2002,Russell Ranch; near Davis; California,38.53,-121.78,2002,2002,OMT & LMT,yes,annual,non-legume,comparable,no,recent,low input,org stand,comparable,yes,both multi-crop,similar,no,plant,yes,no,more org,no,214,160,173,44,yes,standard,high,high,high,neutral,dataset,Mg/ha,Fig. 4,75.48,6.24,3,67.06,6.51,3,-0.118279979,0.00541949,LMT,NA,OMT,1,18,yes,NA,more org
study13,Denison et al.,2004,"Field Crops Research 86, 267-277","Crop yields over the first nine years of LTRAS, a long-term comparison of field crop systems in a Mediterranean climate","Agronomy and Range Science, University of California, Davis",United States,North America,yes,very high,temperate,journal,experimental,yes,no,175,maize,cereals,long,LTRAS UC Davis; 1994-2002,Russell Ranch; near Davis; California,38.53,-121.78,1998,1998,OMT & LMT,yes,annual,non-legume,comparable,no,recent,low input,org stand,comparable,yes,both multi-crop,similar,no,plant,yes,no,more org,no,373,0,300,0,yes,standard,high,high,high,neutral,dataset,kg/ha,Fig. 4,7.64,0.4,3,8.72,1.63,3,0.132221635,0.012560903,LMT,NA,OMT,1,5,yes,NA,more org
study13,Denison et al.,2004,"Field Crops Research 86, 267-277","Crop yields over the first nine years of LTRAS, a long-term comparison of field crop systems in a Mediterranean climate","Agronomy and Range Science, University of California, Davis",United States,North America,yes,very high,temperate,journal,experimental,yes,no,194,tomato,fruit,long,LTRAS UC Davis; 1994-2002,Russell Ranch; near Davis; California,38.53,-121.78,2002,2002,OMT & CMT,yes,annual,non-legume,comparable,no,recent,commercial,org stand,comparable,yes,org multi-crop,similar,no,plant,yes,no,more org,no,214,160,173,44,yes,standard,high,high,high,neutral,dataset,Mg/ha,Fig. 4,79.82,1.36,3,67.06,6.51,3,-0.174186359,0.003238099,CMT,NA,OMT,1,18,yes,NA,more org
study13,Denison et al.,2004,"Field Crops Research 86, 267-277","Crop yields over the first nine years of LTRAS, a long-term comparison of field crop systems in a Mediterranean climate","Agronomy and Range Science, University of California, Davis",United States,North America,yes,very high,temperate,journal,experimental,yes,no,201,tomato,fruit,long,LTRAS UC Davis; 1994-2002,Russell Ranch; near Davis; California,38.53,-121.78,2000,2000,OMT & LMT,yes,annual,non-legume,comparable,no,recent,low input,org stand,comparable,yes,both multi-crop,similar,no,plant,yes,no,more org,no,214,160,173,44,yes,standard,high,high,high,neutral,dataset,Mg/ha,Fig. 4,74.39,6.24,3,72.49,4.89,3,-0.025872903,0.003862252,LMT,NA,OMT,1,16,yes,NA,more org
study13,Denison et al.,2004,"Field Crops Research 86, 267-277","Crop yields over the first nine years of LTRAS, a long-term comparison of field crop systems in a Mediterranean climate","Agronomy and Range Science, University of California, Davis",United States,North America,yes,very high,temperate,journal,experimental,yes,no,209,tomato,fruit,long,LTRAS UC Davis; 1994-2002,Russell Ranch; near Davis; California,38.53,-121.78,1999,1999,OMT & CWT,yes,annual,non-legume,comparable,no,recent,commercial,org stand,comparable,yes,org multi-crop,similar,no,plant,yes,no,more org,no,214,160,173,44,yes,standard,high,high,high,neutral,dataset,Mg/ha,Fig. 4,93.12,11.95,3,70.86,9.5,3,-0.273182885,0.011480783,CWT,NA,OMT,1,15,yes,NA,more org
study13,Denison et al.,2004,"Field Crops Research 86, 267-277","Crop yields over the first nine years of LTRAS, a long-term comparison of field crop systems in a Mediterranean climate","Agronomy and Range Science, University of California, Davis",United States,North America,yes,very high,temperate,journal,experimental,yes,no,168,maize,cereals,long,LTRAS UC Davis; 1994-2002,Russell Ranch; near Davis; California,38.53,-121.78,2000,2000,OMT & CMT,yes,annual,non-legume,comparable,no,recent,commercial,org stand,comparable,yes,org multi-crop,similar,no,plant,yes,no,more org,no,373,235,300,44,yes,standard,high,high,high,neutral,dataset,kg/ha,Fig. 4,12.79,0.29,3,7.45,0.75,3,-0.540449583,0.003549596,CMT,NA,OMT,1,7,yes,NA,more org
study13,Denison et al.,2004,"Field Crops Research 86, 267-277","Crop yields over the first nine years of LTRAS, a long-term comparison of field crop systems in a Mediterranean climate","Agronomy and Range Science, University of California, Davis",United States,North America,yes,very high,temperate,journal,experimental,yes,no,184,maize,cereals,long,LTRAS UC Davis; 1994-2002,Russell Ranch; near Davis; California,38.53,-121.78,1998,1998,OMT & CMT,yes,annual,non-legume,comparable,no,recent,commercial,org stand,comparable,yes,org multi-crop,similar,no,plant,yes,no,more org,no,373,235,300,44,yes,standard,high,high,high,neutral,dataset,kg/ha,Fig. 4,10.49,0.18,3,8.72,1.63,3,-0.184803184,0.011745331,CMT,NA,OMT,1,5,yes,NA,more org
study13,Denison et al.,2004,"Field Crops Research 86, 267-277","Crop yields over the first nine years of LTRAS, a long-term comparison of field crop systems in a Mediterranean climate","Agronomy and Range Science, University of California, Davis",United States,North America,yes,very high,temperate,journal,experimental,yes,no,169,maize,cereals,long,LTRAS UC Davis; 1994-2002,Russell Ranch; near Davis; California,38.53,-121.78,2001,2001,OMT & CMT,yes,annual,non-legume,comparable,no,recent,commercial,org stand,comparable,yes,org multi-crop,similar,no,plant,yes,no,more org,no,373,235,300,44,yes,standard,high,high,high,neutral,dataset,kg/ha,Fig. 4,12.2,0.62,3,7.37,0.47,3,-0.504018246,0.002216504,CMT,NA,OMT,1,8,yes,NA,more org
study13,Denison et al.,2004,"Field Crops Research 86, 267-277","Crop yields over the first nine years of LTRAS, a long-term comparison of field crop systems in a Mediterranean climate","Agronomy and Range Science, University of California, Davis",United States,North America,yes,very high,temperate,journal,experimental,yes,no,185,maize,cereals,long,LTRAS UC Davis; 1994-2002,Russell Ranch; near Davis; California,38.53,-121.78,1999,1999,OMT & CMT,yes,annual,non-legume,comparable,no,recent,commercial,org stand,comparable,yes,org multi-crop,similar,no,plant,yes,no,more org,no,373,235,300,44,yes,standard,high,high,high,neutral,dataset,kg/ha,Fig. 4,8.97,0.36,3,6.52,0.54,3,-0.3190113,0.002823406,CMT,NA,OMT,1,6,yes,NA,more org
study13,Denison et al.,2004,"Field Crops Research 86, 267-277","Crop yields over the first nine years of LTRAS, a long-term comparison of field crop systems in a Mediterranean climate","Agronomy and Range Science, University of California, Davis",United States,North America,yes,very high,temperate,journal,experimental,yes,no,212,tomato,fruit,long,LTRAS UC Davis; 1994-2002,Russell Ranch; near Davis; California,38.53,-121.78,2002,2002,OMT & CWT,yes,annual,non-legume,comparable,no,recent,commercial,org stand,comparable,yes,org multi-crop,similar,no,plant,yes,no,more org,no,214,160,173,44,yes,standard,high,high,high,neutral,dataset,Mg/ha,Fig. 4,68.41,5.71,3,67.06,6.51,3,-0.019931272,0.005463595,CWT,NA,OMT,1,18,yes,NA,more org
study13,Denison et al.,2004,"Field Crops Research 86, 267-277","Crop yields over the first nine years of LTRAS, a long-term comparison of field crop systems in a Mediterranean climate","Agronomy and Range Science, University of California, Davis",United States,North America,yes,very high,temperate,journal,experimental,yes,no,177,maize,cereals,long,LTRAS UC Davis; 1994-2002,Russell Ranch; near Davis; California,38.53,-121.78,2000,2000,OMT & LMT,yes,annual,non-legume,comparable,no,recent,low input,org stand,comparable,yes,both multi-crop,similar,no,plant,yes,no,more org,no,373,0,300,0,yes,standard,high,high,high,neutral,dataset,kg/ha,Fig. 4,7.77,0.69,3,7.45,0.75,3,-0.042056132,0.006006889,LMT,NA,OMT,1,7,yes,NA,more org
study13,Denison et al.,2004,"Field Crops Research 86, 267-277","Crop yields over the first nine years of LTRAS, a long-term comparison of field crop systems in a Mediterranean climate","Agronomy and Range Science, University of California, Davis",United States,North America,yes,very high,temperate,journal,experimental,yes,no,182,maize,cereals,long,LTRAS UC Davis; 1994-2002,Russell Ranch; near Davis; California,38.53,-121.78,1996,1996,OMT & CMT,yes,annual,non-legume,comparable,no,recent,commercial,org stand,comparable,yes,org multi-crop,similar,no,plant,yes,no,more org,no,373,235,300,44,yes,standard,high,high,high,neutral,dataset,kg/ha,Fig. 4,10.51,0.32,3,6.75,1.04,3,-0.44278468,0.008221951,CMT,NA,OMT,1,3,yes,NA,more org
study13,Denison et al.,2004,"Field Crops Research 86, 267-277","Crop yields over the first nine years of LTRAS, a long-term comparison of field crop systems in a Mediterranean climate","Agronomy and Range Science, University of California, Davis",United States,North America,yes,very high,temperate,journal,experimental,yes,no,178,maize,cereals,long,LTRAS UC Davis; 1994-2002,Russell Ranch; near Davis; California,38.53,-121.78,2001,2001,OMT & LMT,yes,annual,non-legume,comparable,no,recent,low input,org stand,comparable,yes,both multi-crop,similar,no,plant,yes,no,more org,no,373,0,300,0,yes,standard,high,high,high,neutral,dataset,kg/ha,Fig. 4,6.58,0.79,3,7.37,0.47,3,0.113382961,0.006160489,LMT,NA,OMT,1,8,yes,NA,more org
study13,Denison et al.,2004,"Field Crops Research 86, 267-277","Crop yields over the first nine years of LTRAS, a long-term comparison of field crop systems in a Mediterranean climate","Agronomy and Range Science, University of California, Davis",United States,North America,yes,very high,temperate,journal,experimental,yes,no,200,tomato,fruit,long,LTRAS UC Davis; 1994-2002,Russell Ranch; near Davis; California,38.53,-121.78,1999,1999,OMT & LMT,yes,annual,non-legume,comparable,no,recent,low input,org stand,comparable,yes,both multi-crop,similar,no,plant,yes,no,more org,no,214,160,173,44,yes,standard,high,high,high,neutral,dataset,Mg/ha,Fig. 4,39.64,10.86,3,70.86,9.5,3,0.58086739,0.031010402,LMT,NA,OMT,1,15,yes,NA,more org
study13,Denison et al.,2004,"Field Crops Research 86, 267-277","Crop yields over the first nine years of LTRAS, a long-term comparison of field crop systems in a Mediterranean climate","Agronomy and Range Science, University of California, Davis",United States,North America,yes,very high,temperate,journal,experimental,yes,no,183,maize,cereals,long,LTRAS UC Davis; 1994-2002,Russell Ranch; near Davis; California,38.53,-121.78,1997,1997,OMT & CMT,yes,annual,non-legume,comparable,no,recent,commercial,org stand,comparable,yes,org multi-crop,similar,no,plant,yes,no,more org,no,373,235,300,44,yes,standard,high,high,high,neutral,dataset,kg/ha,Fig. 4,12.38,0.07,3,10.28,0.51,3,-0.185882007,0.000831071,CMT,NA,OMT,1,4,yes,NA,more org
study13,Denison et al.,2004,"Field Crops Research 86, 267-277","Crop yields over the first nine years of LTRAS, a long-term comparison of field crop systems in a Mediterranean climate","Agronomy and Range Science, University of California, Davis",United States,North America,yes,very high,temperate,journal,experimental,yes,no,193,tomato,fruit,long,LTRAS UC Davis; 1994-2002,Russell Ranch; near Davis; California,38.53,-121.78,2001,2001,OMT & CMT,yes,annual,non-legume,comparable,no,recent,commercial,org stand,comparable,yes,org multi-crop,similar,no,plant,yes,no,more org,no,214,160,173,44,yes,standard,high,high,high,neutral,dataset,Mg/ha,Fig. 4,62.99,2.98,3,74.39,13.03,3,0.166345541,0.01097282,CMT,NA,OMT,1,17,yes,NA,more org
study13,Denison et al.,2004,"Field Crops Research 86, 267-277","Crop yields over the first nine years of LTRAS, a long-term comparison of field crop systems in a Mediterranean climate","Agronomy and Range Science, University of California, Davis",United States,North America,yes,very high,temperate,journal,experimental,yes,no,187,tomato,fruit,long,LTRAS UC Davis; 1994-2002,Russell Ranch; near Davis; California,38.53,-121.78,1995,1995,OMT & CMT,yes,annual,non-legume,comparable,no,recent,commercial,org stand,comparable,yes,org multi-crop,similar,no,plant,yes,no,more org,no,214,160,173,44,yes,standard,high,high,high,neutral,dataset,Mg/ha,Fig. 4,29.59,5.7,3,71.95,3.25,3,0.888534967,0.013049229,CMT,NA,OMT,1,11,yes,NA,more org
study13,Denison et al.,2004,"Field Crops Research 86, 267-277","Crop yields over the first nine years of LTRAS, a long-term comparison of field crop systems in a Mediterranean climate","Agronomy and Range Science, University of California, Davis",United States,North America,yes,very high,temperate,journal,experimental,yes,no,196,tomato,fruit,long,LTRAS UC Davis; 1994-2002,Russell Ranch; near Davis; California,38.53,-121.78,1995,1995,OMT & LMT,yes,annual,non-legume,comparable,no,recent,low input,org stand,comparable,yes,both multi-crop,similar,no,plant,yes,no,more org,no,214,160,173,44,yes,standard,high,high,high,neutral,dataset,Mg/ha,Fig. 4,43.44,7.33,3,71.95,3.25,3,0.504590758,0.01017101,LMT,NA,OMT,1,11,yes,NA,more org
study13,Denison et al.,2004,"Field Crops Research 86, 267-277","Crop yields over the first nine years of LTRAS, a long-term comparison of field crop systems in a Mediterranean climate","Agronomy and Range Science, University of California, Davis",United States,North America,yes,very high,temperate,journal,experimental,yes,no,176,maize,cereals,long,LTRAS UC Davis; 1994-2002,Russell Ranch; near Davis; California,38.53,-121.78,1999,1999,OMT & LMT,yes,annual,non-legume,comparable,no,recent,low input,org stand,comparable,yes,both multi-crop,similar,no,plant,yes,no,more org,no,373,0,300,0,yes,standard,high,high,high,neutral,dataset,kg/ha,Fig. 4,6.3,0.47,3,6.52,0.54,3,0.034324743,0.004141711,LMT,NA,OMT,1,6,yes,NA,more org
study13,Denison et al.,2004,"Field Crops Research 86, 267-277","Crop yields over the first nine years of LTRAS, a long-term comparison of field crop systems in a Mediterranean climate","Agronomy and Range Science, University of California, Davis",United States,North America,yes,very high,temperate,journal,experimental,yes,no,179,maize,cereals,long,LTRAS UC Davis; 1994-2002,Russell Ranch; near Davis; California,38.53,-121.78,2002,2002,OMT & LMT,yes,annual,non-legume,comparable,no,recent,low input,org stand,comparable,yes,both multi-crop,similar,no,plant,yes,no,more org,no,373,0,300,0,yes,standard,high,high,high,neutral,dataset,kg/ha,Fig. 4,7.22,0.68,3,5.41,1.59,3,-0.28860586,0.031749241,LMT,NA,OMT,1,9,yes,NA,more org
study13,Denison et al.,2004,"Field Crops Research 86, 267-277","Crop yields over the first nine years of LTRAS, a long-term comparison of field crop systems in a Mediterranean climate","Agronomy and Range Science, University of California, Davis",United States,North America,yes,very high,temperate,journal,experimental,yes,no,171,maize,cereals,long,LTRAS UC Davis; 1994-2002,Russell Ranch; near Davis; California,38.53,-121.78,1994,1994,OMT & LMT,yes,annual,non-legume,comparable,no,recent,low input,org stand,comparable,yes,both multi-crop,similar,no,plant,yes,no,more org,no,373,0,300,0,yes,standard,high,high,high,neutral,dataset,kg/ha,Fig. 4,7.46,1.08,3,9,1.66,3,0.187669163,0.01832624,LMT,NA,OMT,1,1,yes,NA,more org
study13,Denison et al.,2004,"Field Crops Research 86, 267-277","Crop yields over the first nine years of LTRAS, a long-term comparison of field crop systems in a Mediterranean climate","Agronomy and Range Science, University of California, Davis",United States,North America,yes,very high,temperate,journal,experimental,yes,no,180,maize,cereals,long,LTRAS UC Davis; 1994-2002,Russell Ranch; near Davis; California,38.53,-121.78,1994,1994,OMT & CMT,yes,annual,non-legume,comparable,no,recent,commercial,org stand,comparable,yes,org multi-crop,similar,no,plant,yes,no,more org,no,373,235,300,44,yes,standard,high,high,high,neutral,dataset,kg/ha,Fig. 4,13.26,0.76,3,9,1.66,3,-0.387527407,0.01243493,CMT,NA,OMT,1,1,yes,NA,more org
study13,Denison et al.,2004,"Field Crops Research 86, 267-277","Crop yields over the first nine years of LTRAS, a long-term comparison of field crop systems in a Mediterranean climate","Agronomy and Range Science, University of California, Davis",United States,North America,yes,very high,temperate,journal,experimental,yes,no,170,maize,cereals,long,LTRAS UC Davis; 1994-2002,Russell Ranch; near Davis; California,38.53,-121.78,2002,2002,OMT & CMT,yes,annual,non-legume,comparable,no,recent,commercial,org stand,comparable,yes,org multi-crop,similar,no,plant,yes,no,more org,no,373,235,300,44,yes,standard,high,high,high,neutral,dataset,kg/ha,Fig. 4,12.7,0.47,3,5.41,1.59,3,-0.853352901,0.029248967,CMT,NA,OMT,1,9,yes,NA,more org
study13,Denison et al.,2004,"Field Crops Research 86, 267-277","Crop yields over the first nine years of LTRAS, a long-term comparison of field crop systems in a Mediterranean climate","Agronomy and Range Science, University of California, Davis",United States,North America,yes,very high,temperate,journal,experimental,yes,no,199,tomato,fruit,long,LTRAS UC Davis; 1994-2002,Russell Ranch; near Davis; California,38.53,-121.78,1998,1998,OMT & LMT,yes,annual,non-legume,comparable,no,recent,low input,org stand,comparable,yes,both multi-crop,similar,no,plant,yes,no,more org,no,214,160,173,44,yes,standard,high,high,high,neutral,dataset,Mg/ha,Fig. 4,63.53,4.34,3,66.24,4.62,3,0.041772275,0.003177128,LMT,NA,OMT,1,14,yes,NA,more org
study13,Denison et al.,2004,"Field Crops Research 86, 267-277","Crop yields over the first nine years of LTRAS, a long-term comparison of field crop systems in a Mediterranean climate","Agronomy and Range Science, University of California, Davis",United States,North America,yes,very high,temperate,journal,experimental,yes,no,186,tomato,fruit,long,LTRAS UC Davis; 1994-2002,Russell Ranch; near Davis; California,38.53,-121.78,1994,1994,OMT & CMT,yes,annual,non-legume,comparable,no,recent,commercial,org stand,comparable,yes,org multi-crop,similar,no,plant,yes,no,more org,no,214,160,173,44,yes,standard,high,high,high,neutral,dataset,Mg/ha,Fig. 4,68.14,4.62,3,51.04,6.52,3,-0.288954773,0.006971772,CMT,NA,OMT,1,10,yes,NA,more org
study13,Denison et al.,2004,"Field Crops Research 86, 267-277","Crop yields over the first nine years of LTRAS, a long-term comparison of field crop systems in a Mediterranean climate","Agronomy and Range Science, University of California, Davis",United States,North America,yes,very high,temperate,journal,experimental,yes,no,191,tomato,fruit,long,LTRAS UC Davis; 1994-2002,Russell Ranch; near Davis; California,38.53,-121.78,1999,1999,OMT & CMT,yes,annual,non-legume,comparable,no,recent,commercial,org stand,comparable,yes,org multi-crop,similar,no,plant,yes,no,more org,no,214,160,173,44,yes,standard,high,high,high,neutral,dataset,Mg/ha,Fig. 4,23.89,8.42,3,70.86,9.5,3,1.087246138,0.047398037,CMT,NA,OMT,1,15,yes,NA,more org
study13,Denison et al.,2004,"Field Crops Research 86, 267-277","Crop yields over the first nine years of LTRAS, a long-term comparison of field crop systems in a Mediterranean climate","Agronomy and Range Science, University of California, Davis",United States,North America,yes,very high,temperate,journal,experimental,yes,no,204,tomato,fruit,long,LTRAS UC Davis; 1994-2002,Russell Ranch; near Davis; California,38.53,-121.78,1994,1994,OMT & CWT,yes,annual,non-legume,comparable,no,recent,commercial,org stand,comparable,yes,org multi-crop,similar,no,plant,yes,no,more org,no,214,160,173,44,yes,standard,high,high,high,neutral,dataset,Mg/ha,Fig. 4,73.3,3.53,3,51.04,6.52,3,-0.36195097,0.006212493,CWT,NA,OMT,1,10,yes,NA,more org
study13,Denison et al.,2004,"Field Crops Research 86, 267-277","Crop yields over the first nine years of LTRAS, a long-term comparison of field crop systems in a Mediterranean climate","Agronomy and Range Science, University of California, Davis",United States,North America,yes,very high,temperate,journal,experimental,yes,no,205,tomato,fruit,long,LTRAS UC Davis; 1994-2002,Russell Ranch; near Davis; California,38.53,-121.78,1995,1995,OMT & CWT,yes,annual,non-legume,comparable,no,recent,commercial,org stand,comparable,yes,org multi-crop,similar,no,plant,yes,no,more org,no,214,160,173,44,yes,standard,high,high,high,neutral,dataset,Mg/ha,Fig. 4,44.25,3.26,3,71.95,3.25,3,0.486116062,0.002489321,CWT,NA,OMT,1,11,yes,NA,more org
study13,Denison et al.,2004,"Field Crops Research 86, 267-277","Crop yields over the first nine years of LTRAS, a long-term comparison of field crop systems in a Mediterranean climate","Agronomy and Range Science, University of California, Davis",United States,North America,yes,very high,temperate,journal,experimental,yes,no,188,tomato,fruit,long,LTRAS UC Davis; 1994-2002,Russell Ranch; near Davis; California,38.53,-121.78,1996,1996,OMT & CMT,yes,annual,non-legume,comparable,no,recent,commercial,org stand,comparable,yes,org multi-crop,similar,no,plant,yes,no,more org,no,214,160,173,44,yes,standard,high,high,high,neutral,dataset,Mg/ha,Fig. 4,52.94,2.44,3,52.67,12.49,3,-0.005113163,0.019452728,CMT,NA,OMT,1,12,yes,NA,more org
study13,Denison et al.,2004,"Field Crops Research 86, 267-277","Crop yields over the first nine years of LTRAS, a long-term comparison of field crop systems in a Mediterranean climate","Agronomy and Range Science, University of California, Davis",United States,North America,yes,very high,temperate,journal,experimental,yes,no,197,tomato,fruit,long,LTRAS UC Davis; 1994-2002,Russell Ranch; near Davis; California,38.53,-121.78,1996,1996,OMT & LMT,yes,annual,non-legume,comparable,no,recent,low input,org stand,comparable,yes,both multi-crop,similar,no,plant,yes,no,more org,no,214,160,173,44,yes,standard,high,high,high,neutral,dataset,Mg/ha,Fig. 4,54.57,5.97,3,52.67,12.49,3,-0.035438248,0.022734144,LMT,NA,OMT,1,12,yes,NA,more org
study13,Denison et al.,2004,"Field Crops Research 86, 267-277","Crop yields over the first nine years of LTRAS, a long-term comparison of field crop systems in a Mediterranean climate","Agronomy and Range Science, University of California, Davis",United States,North America,yes,very high,temperate,journal,experimental,yes,no,206,tomato,fruit,long,LTRAS UC Davis; 1994-2002,Russell Ranch; near Davis; California,38.53,-121.78,1996,1996,OMT & CWT,yes,annual,non-legume,comparable,no,recent,commercial,org stand,comparable,yes,org multi-crop,similar,no,plant,yes,no,more org,no,214,160,173,44,yes,standard,high,high,high,neutral,dataset,Mg/ha,Fig. 4,49.95,2.45,3,52.67,12.49,3,0.053023528,0.019546571,CWT,NA,OMT,1,12,yes,NA,more org
study13,Denison et al.,2004,"Field Crops Research 86, 267-277","Crop yields over the first nine years of LTRAS, a long-term comparison of field crop systems in a Mediterranean climate","Agronomy and Range Science, University of California, Davis",United States,North America,yes,very high,temperate,journal,experimental,yes,no,172,maize,cereals,long,LTRAS UC Davis; 1994-2002,Russell Ranch; near Davis; California,38.53,-121.78,1995,1995,OMT & LMT,yes,annual,non-legume,comparable,no,recent,low input,org stand,comparable,yes,both multi-crop,similar,no,plant,yes,no,more org,no,373,0,300,0,yes,standard,high,high,high,neutral,dataset,kg/ha,Fig. 4,7.49,1.15,3,8.93,0.39,3,0.175847597,0.008493755,LMT,NA,OMT,1,2,yes,NA,more org
study13,Denison et al.,2004,"Field Crops Research 86, 267-277","Crop yields over the first nine years of LTRAS, a long-term comparison of field crop systems in a Mediterranean climate","Agronomy and Range Science, University of California, Davis",United States,North America,yes,very high,temperate,journal,experimental,yes,no,181,maize,cereals,long,LTRAS UC Davis; 1994-2002,Russell Ranch; near Davis; California,38.53,-121.78,1995,1995,OMT & CMT,yes,annual,non-legume,comparable,no,recent,commercial,org stand,comparable,yes,org multi-crop,similar,no,plant,yes,no,more org,no,373,235,300,44,yes,standard,high,high,high,neutral,dataset,kg/ha,Fig. 4,9.15,0.46,3,8.93,0.39,3,-0.024337484,0.001478243,CMT,NA,OMT,1,2,yes,NA,more org
study13,Denison et al.,2004,"Field Crops Research 86, 267-277","Crop yields over the first nine years of LTRAS, a long-term comparison of field crop systems in a Mediterranean climate","Agronomy and Range Science, University of California, Davis",United States,North America,yes,very high,temperate,journal,experimental,yes,no,173,maize,cereals,long,LTRAS UC Davis; 1994-2002,Russell Ranch; near Davis; California,38.53,-121.78,1996,1996,OMT & LMT,yes,annual,non-legume,comparable,no,recent,low input,org stand,comparable,yes,both multi-crop,similar,no,plant,yes,no,more org,no,373,0,300,0,yes,standard,high,high,high,neutral,dataset,kg/ha,Fig. 4,7.19,0.61,3,6.75,1.04,3,-0.063148667,0.010312218,LMT,NA,OMT,1,3,yes,NA,more org
study13,Denison et al.,2004,"Field Crops Research 86, 267-277","Crop yields over the first nine years of LTRAS, a long-term comparison of field crop systems in a Mediterranean climate","Agronomy and Range Science, University of California, Davis",United States,North America,yes,very high,temperate,journal,experimental,yes,no,195,tomato,fruit,long,LTRAS UC Davis; 1994-2002,Russell Ranch; near Davis; California,38.53,-121.78,1994,1994,OMT & LMT,yes,annual,non-legume,comparable,no,recent,low input,org stand,comparable,yes,both multi-crop,similar,no,plant,yes,no,more org,no,214,160,300,44,yes,standard,high,high,high,neutral,dataset,Mg/ha,Fig. 4,76.75,1.98,3,51.04,6.52,3,-0.407943747,0.005661267,LMT,NA,OMT,1,10,yes,NA,more org
study13,Denison et al.,2004,"Field Crops Research 86, 267-277","Crop yields over the first nine years of LTRAS, a long-term comparison of field crop systems in a Mediterranean climate","Agronomy and Range Science, University of California, Davis",United States,North America,yes,very high,temperate,journal,experimental,yes,no,208,tomato,fruit,long,LTRAS UC Davis; 1994-2002,Russell Ranch; near Davis; California,38.53,-121.78,1998,1998,OMT & CWT,yes,annual,non-legume,comparable,no,recent,commercial,org stand,comparable,yes,org multi-crop,similar,no,plant,yes,no,more org,no,214,160,173,44,yes,standard,high,high,high,neutral,dataset,Mg/ha,Fig. 4,54.84,1.63,3,66.24,4.62,3,0.188864655,0.001916001,CWT,NA,OMT,1,14,yes,NA,more org
study13,Denison et al.,2004,"Field Crops Research 86, 267-277","Crop yields over the first nine years of LTRAS, a long-term comparison of field crop systems in a Mediterranean climate","Agronomy and Range Science, University of California, Davis",United States,North America,yes,very high,temperate,journal,experimental,yes,no,190,tomato,fruit,long,LTRAS UC Davis; 1994-2002,Russell Ranch; near Davis; California,38.53,-121.78,1998,1998,OMT & CMT,yes,annual,non-legume,comparable,no,recent,commercial,org stand,comparable,yes,org multi-crop,similar,no,plant,yes,no,more org,no,214,160,173,44,yes,standard,high,high,high,neutral,dataset,Mg/ha,Fig. 4,59.46,2.98,3,66.24,4.62,3,0.107980693,0.002458781,CMT,NA,OMT,1,14,yes,NA,more org
